segmento_id,punto_id,nome_linea,x_studs,z_studs
76,5,Ferrovia Torino-Genova,145881.09,91151.33
76,6,Ferrovia Torino-Genova,145881.4,91090.62
76,7,Ferrovia Torino-Genova,145882.93,91039.19
77,0,Ferrovia Torino-Genova,145628.71,92477.31
77,1,Ferrovia Torino-Genova,145638.37,92455.17
78,0,Ferrovia Torino-Genova,145418.88,92865.29
78,1,Ferrovia Torino-Genova,145479.3,92759.71
79,0,Galleria Murta,143623.58,100708.05
79,1,Galleria Murta,143614.03,100744.01
79,2,Galleria Murta,143605.57,100773.66
79,3,Galleria Murta,143593.96,100807.19
79,4,Galleria Murta,143577.37,100842.82
79,5,Galleria Murta,143543.33,100910.33
79,6,Galleria Murta,143431.03,101116.7
79,7,Galleria Murta,143324.44,101293.63
80,0,,146297.23,107885.28
80,1,,146319.56,107877.73
80,2,,146341.92,107871.45
80,3,,146356.1,107868.13
80,4,,146370.08,107865.34
80,5,,146387.22,107862.31
80,6,,146408.12,107859.45
80,7,,146433.72,107856.24
80,8,,146460.44,107853.99
80,9,,146484.58,107852.63
80,10,,146505.3,107852.08
80,11,,146635.44,107848.73
81,0,Galleria Traversata Nuova,149389.53,109102.6
81,1,Galleria Traversata Nuova,149354.91,109053.5
81,2,Galleria Traversata Nuova,149304.38,108971.25
81,3,Galleria Traversata Nuova,149175.38,108761.27
81,4,Galleria Traversata Nuova,149074.72,108595.39
81,5,Galleria Traversata Nuova,149042.35,108551.64
81,6,Galleria Traversata Nuova,149011.56,108517.14
81,7,Galleria Traversata Nuova,148973.78,108484.22
81,8,Galleria Traversata Nuova,148928.73,108452.8
81,9,Galleria Traversata Nuova,148875.24,108421.84
81,10,Galleria Traversata Nuova,148807.97,108388.54
81,11,Galleria Traversata Nuova,148738.71,108358.15
81,12,Galleria Traversata Nuova,148553.76,108277.62
81,13,Galleria Traversata Nuova,147802.24,107950.39
81,14,Galleria Traversata Nuova,147735.34,107923.46
81,15,Galleria Traversata Nuova,147670.9,107901.25
81,16,Galleria Traversata Nuova,147613.57,107885.51
81,17,Galleria Traversata Nuova,147549.4,107872.78
81,18,Galleria Traversata Nuova,147475.64,107864.1
81,19,Galleria Traversata Nuova,147271.66,107851.36
81,20,Galleria Traversata Nuova,147259.46,107850.41
81,21,Galleria Traversata Nuova,147154.1,107845.24
81,22,Galleria Traversata Nuova,147121.0,107843.55
81,23,Galleria Traversata Nuova,147087.03,107843.57
81,24,Galleria Traversata Nuova,147011.28,107844.77
81,25,Galleria Traversata Nuova,146941.4,107846.04
82,0,Galleria Traversata Nuova,146904.03,107840.52
82,1,Galleria Traversata Nuova,146998.29,107838.87
82,2,Galleria Traversata Nuova,147026.58,107838.21
82,3,Galleria Traversata Nuova,147087.06,107837.13
82,4,Galleria Traversata Nuova,147120.37,107837.14
82,5,Galleria Traversata Nuova,147154.27,107838.75
82,6,Galleria Traversata Nuova,147259.72,107844.17
82,7,Galleria Traversata Nuova,147328.94,107848.88
82,8,Galleria Traversata Nuova,147477.52,107858.2
82,9,Galleria Traversata Nuova,147549.79,107866.31
82,10,Galleria Traversata Nuova,147616.33,107879.83
82,11,Galleria Traversata Nuova,147673.64,107895.93
82,12,Galleria Traversata Nuova,147734.74,107916.12
82,13,Galleria Traversata Nuova,148433.13,108218.68
83,0,Ferrovia Genova-Pisa,154348.48,111726.68
83,1,Ferrovia Genova-Pisa,154366.3,111743.17
84,0,Ferrovia Asti-Genova,134519.72,102515.29
84,1,Ferrovia Asti-Genova,134495.32,102517.9
84,2,Ferrovia Asti-Genova,134472.33,102522.46
85,0,Ferrovia Asti-Genova,134776.23,102552.0
85,1,Ferrovia Asti-Genova,134732.45,102539.69
85,2,Ferrovia Asti-Genova,134684.4,102527.95
85,3,Ferrovia Asti-Genova,134651.82,102520.76
85,4,Ferrovia Asti-Genova,134638.42,102518.3
85,5,Ferrovia Asti-Genova,134612.41,102516.56
85,6,Ferrovia Asti-Genova,134583.14,102514.74
85,7,Ferrovia Asti-Genova,134550.19,102514.17
